MSN,YYYYMM,Value,Column_Order,Description,Unit
ELEGPUS,198512,219,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198513,2470,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198601,217,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198602,192,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198603,197,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198604,186,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198605,197,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198606,215,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198607,243,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198608,225,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198609,207,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198610,198,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198611,196,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198612,214,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198613,2487,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198701,223,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198702,194,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198703,202,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198704,189,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198705,206,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198706,226,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198707,248,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198708,248,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198709,213,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198710,203,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198711,200,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198712,221,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198713,2572,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198801,238,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198802,217,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198803,214,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198804,196,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198805,208,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198806,233,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198807,257,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198808,268,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198809,220,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198810,211,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198811,210,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198812,233,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198813,2704,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198901,237,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198902,224,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198903,232,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198904,213,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198905,226,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198906,241,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198907,263,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198908,265,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198909,233,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198910,226,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198911,224,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198912,264,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,198913,2848,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199001,244,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199002,219,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199003,233,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199004,218,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199005,231,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199006,258,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199007,276,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199008,278,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199009,247,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199010,233,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199011,221,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199012,244,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199013,2901,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199101,257,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199102,218,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199103,230,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199104,217,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199105,244,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199106,258,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199107,283,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199108,279,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199109,244,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199110,233,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199111,230,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199112,242,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199113,2936,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199201,254,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199202,228,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199203,236,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199204,222,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199205,231,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199206,249,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199207,280,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199208,269,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199209,247,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199210,232,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199211,231,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199212,255,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199213,2934,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199301,258,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199302,236,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199303,248,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199304,223,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199305,234,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199306,264,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199307,299,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199308,297,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199309,251,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199310,237,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199311,239,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199312,259,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199313,3044,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199401,275,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199402,236,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199403,245,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,199404,228,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
